ifs,code,country,imf_region,imf_income,year,FD,FI,FM,FID,FIA,FIE,FMD,FMA,FME
314,ABW,Aruba,Western Hemisphere,EM,2018,0.30,0.57,0.01,0.27,0.70,0.64,0.02,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2017,0.30,0.58,0.01,0.27,0.71,0.64,0.02,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2016,0.30,0.59,0.01,0.28,0.72,0.64,0.02,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2015,0.30,0.58,0.01,0.27,0.71,0.64,0.02,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2014,0.30,0.58,0.01,0.27,0.72,0.64,0.02,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2013,0.30,0.57,0.01,0.27,0.72,0.63,0.02,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2012,0.29,0.56,0.01,0.27,0.75,0.52,0.02,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2011,0.27,0.53,0.00,0.23,0.74,0.50,0.01,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2010,0.26,0.50,0.00,0.25,0.69,0.44,0.01,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2009,0.27,0.53,0.00,0.23,0.73,0.50,0.01,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2008,0.28,0.55,0.00,0.22,0.75,0.56,0.01,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2007,0.29,0.56,0.00,0.21,0.76,0.58,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2006,0.29,0.58,0.00,0.21,0.78,0.63,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2005,0.26,0.51,0.00,0.21,0.69,0.52,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2004,0.27,0.53,0.00,0.21,0.71,0.54,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2003,0.29,0.56,0.00,0.22,0.75,0.60,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2002,0.29,0.57,0.00,0.21,0.76,0.63,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2001,0.27,0.52,0.00,0.20,0.70,0.57,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,2000,0.27,0.53,0.00,0.19,0.71,0.58,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1999,0.24,0.47,0.00,0.19,0.62,0.51,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1998,0.25,0.50,0.00,0.18,0.66,0.56,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1997,0.26,0.51,0.00,0.18,0.68,0.58,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1996,0.26,0.51,0.00,0.19,0.68,0.56,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1995,0.25,0.50,0.00,0.18,0.66,0.56,0.00,0.00,0.00
314,ABW,Aruba,Western Hemisphere,EM,1994,0.24,0.47,0.00,0.17,0.61,0.53,0.00,0.00,0.00
