DATE,MKTGDPBRA646NWDB
1960-01-01,15165569912.5199
1961-01-01,15236854859.469
1962-01-01,19926293839.0163
1963-01-01,23021477292.2093
1964-01-01,21211892259.9904
1965-01-01,21790035117.19
1966-01-01,27062716577.9111
1967-01-01,30591834053.9653
1968-01-01,33875881876.3672
1969-01-01,37458898243.8609
1970-01-01,42327600098.2412
1971-01-01,49204456700.4516
1972-01-01,58539008786.3684
1973-01-01,79279057730.829
1974-01-01,105136007528.76
1975-01-01,123709376567.89
1976-01-01,152678020452.829
1977-01-01,176171284311.761
1978-01-01,200800891870.164
1979-01-01,224969488835.181
1980-01-01,235024598983.261
1981-01-01,263561088977.129
1982-01-01,281682304161.041
1983-01-01,203304515490.795
1984-01-01,209023912696.839
1985-01-01,222942790435.299
1986-01-01,268137224729.722
1987-01-01,294084112392.66
1988-01-01,330397381998.489
1989-01-01,425595310000
1990-01-01,461951782000
1991-01-01,602860000000
1992-01-01,400599250000
1993-01-01,437798577639.752
1994-01-01,558111997497.263
1995-01-01,769305386182.849
1996-01-01,850426432991.742
1997-01-01,883199625324.675
1998-01-01,863723411632.917
1999-01-01,599388579985.673
2000-01-01,655420645476.906
2001-01-01,559372276081.966
2002-01-01,507962487700.024
2003-01-01,558319920831.979
2004-01-01,669316654017.094
2005-01-01,891630177251.068
2006-01-01,1107640289615.23
2007-01-01,1397084349956.35
2008-01-01,1695824565983.2
2009-01-01,1667019783585.08
2010-01-01,2208871646202.82
2011-01-01,2616200980392.16
2012-01-01,2465188674415.03
2013-01-01,2472806919901.67
2014-01-01,2455993625159.37
2015-01-01,1802214373741.32
2016-01-01,1795700168991.49
2017-01-01,2062831045935.95
2018-01-01,1885482534238.33
2019-01-01,1839758040765.62
2020-01-01,1363767000000.00
