DATE,MKTGDPCAA646NWDB
1960-01-01,40461721692.6468
1961-01-01,40934952063.9468
1962-01-01,42227447631.9159
1963-01-01,45029988561.2124
1964-01-01,49377522896.703
1965-01-01,54515179580.7148
1966-01-01,61088384036.6515
1967-01-01,65668655501.1254
1968-01-01,71829810519.8955
1969-01-01,79148411661.6902
1970-01-01,87896095224.4234
1971-01-01,99271961477.5203
1972-01-01,113082820992.019
1973-01-01,131321859214.079
1974-01-01,160408697648.262
1975-01-01,173834029787.652
1976-01-01,206575564401.623
1977-01-01,211612156934.65
1978-01-01,218632867449.812
1979-01-01,243072102185.419
1980-01-01,273853826377.01
1981-01-01,306214863624.99
1982-01-01,313506525087.136
1983-01-01,340547711781.889
1984-01-01,355372558103.621
1985-01-01,364756499450.751
1986-01-01,377437927311.983
1987-01-01,431316742081.448
1988-01-01,507354351182.254
1989-01-01,565055743243.243
1990-01-01,593929550908.468
1991-01-01,610328183643.188
1992-01-01,592387689252.916
1993-01-01,577170761956.438
1994-01-01,578139279437.61
1995-01-01,604031623433.401
1996-01-01,628546387972.131
1997-01-01,652823920265.781
1998-01-01,631813279406.808
1999-01-01,676084000807.7
2000-01-01,742295468318.632
2001-01-01,736379777892.562
2002-01-01,757950678646.53
2003-01-01,892382413817.715
2004-01-01,1023196771714.07
2005-01-01,1169357979864.66
2006-01-01,1315415197461.21
2007-01-01,1464977190205.75
2008-01-01,1549131208997.19
2009-01-01,1371153004986.44
2010-01-01,1613464422811.13
2011-01-01,1788647906047.76
2012-01-01,1828689329348.99
2013-01-01,1847208522155.34
2014-01-01,1803533209844.65
2015-01-01,1556129524418.21
2016-01-01,1528243213982.08
2017-01-01,1649878054226.82
2018-01-01,1716262621082.22
2019-01-01,1736425629519.96
2020-01-01,1600264000000.00
