DATE,MKTGDPGBA646NWDB
1960-01-01,73233967692.1028
1961-01-01,77741965703.3544
1962-01-01,81247564156.8246
1963-01-01,86561961812.3249
1964-01-01,94407558351.1616
1965-01-01,101824755078.991
1966-01-01,108572752102.045
1967-01-01,113116888210.787
1968-01-01,107759910067.889
1969-01-01,116464702803.218
1970-01-01,130671946244.3
1971-01-01,148113896325.14
1972-01-01,169965034965.035
1973-01-01,192537971582.558
1974-01-01,206131369798.971
1975-01-01,241756637168.142
1976-01-01,232614555256.065
1977-01-01,263066457352.172
1978-01-01,335883029721.956
1979-01-01,438994070309.191
1980-01-01,564947710899.373
1981-01-01,540765675241.158
1982-01-01,515048916841.37
1983-01-01,489618008185.539
1984-01-01,461487097632.349
1985-01-01,489285164271.047
1986-01-01,601452653180.885
1987-01-01,745162608269.325
1988-01-01,910122732123.799
1989-01-01,926884816753.927
1990-01-01,1093169389204.55
1991-01-01,1142797178130.51
1992-01-01,1179659529659.53
1993-01-01,1061388722255.55
1994-01-01,1140489745944.29
1995-01-01,1341584345905.0
1996-01-01,1415358814352.57
1997-01-01,1559078258022.27
1998-01-01,1650172242464.39
1999-01-01,1682399288141.08
2000-01-01,1657816613708.58
2001-01-01,1640246149417.01
2002-01-01,1784473920863.31
2003-01-01,2053018775510.2
2004-01-01,2416931526913.22
2005-01-01,2538680000000.0
2006-01-01,2713749770009.2
2007-01-01,3100882352941.18
2008-01-01,2922667279411.76
2009-01-01,2410909799034.12
2010-01-01,2475244321361.11
2011-01-01,2659310054646.23
2012-01-01,2704887678386.72
2013-01-01,2786022872706.81
2014-01-01,3063803240208.01
2015-01-01,2928591002002.51
2016-01-01,2694283209613.29
2017-01-01,2666229179958.01
2018-01-01,2860667727551.97
2019-01-01,2827113184695.58
2020-01-01,2638296000000.00
